src,tgt,path_length,type
MCM10,ILF3,-1,reversed-1
RPL35,YBX1,1,direct
RPS3,STAT5A,1,direct
MCM10,CDC20,1,direct
SART1,GAK,1,direct
EIF3B,METAP1,1,direct
IFITM2,DHODH,0,no_path
FBL,CD2BP2,1,direct
MMS22L,ZNF830,0,no_path
IARS2,PSMA1,1,direct
PSMG1,EIF2S3,1,direct
CCNL1,TRA2B,-1,reversed-1
CDC20,SKA3,1,direct
METAP2,SNAPC5,2,hop-2
CHMP1A,SART1,0,no_path
RSL24D1,C7orf26,-1,reversed-1
GTF2F2,DYNC1H1,1,direct
CPSF4,NOL12,-1,reversed-1
PSMC3,ZMAT5,1,direct
EIF2S3,WBP1L,1,direct
POLR2B,CENPH,-1,reversed-1
CPSF4,BRIX1,-1,reversed-1
POLR2B,PSMB2,-1,reversed-1
SRSF6,PTCD3,-1,reversed-1
MRPL21,MRGBP,-1,reversed-1
NUTF2,SENP6,1,direct
POLR2E,PSMA5,-1,reversed-1
GTF2H3,PSMC3,-1,reversed-1
CASP8AP2,KIN,-2,reversed-2
DDX41,NUP214,-1,reversed-1
MRPL4,PDCD6IP,-1,reversed-1
MRPL21,LSM10,-1,reversed-1
CCT6A,DDX41,1,direct
PALB2,EIF2S3,-1,reversed-1
SLC1A5,SRP14,-1,reversed-1
NOL11,MED17,1,direct
CPSF4,NFRKB,-2,reversed-2
GTF2H3,WDR18,1,direct
NELFE,WDR18,-1,reversed-1
SLC1A5,XPO5,-1,reversed-1
XRCC5,RPL18A,-1,reversed-1
USP8,CBX1,-1,reversed-1
SRSF6,RSL1D1,-1,reversed-1
SLC1A5,ATP6V0C,-1,reversed-1
TMX2,CTU2,1,direct
SARS2,URM1,-2,reversed-2
CCT6A,RPE,1,direct
HTATSF1,SNAPC5,3,hop-3
CCNL1,MRPL9,-2,reversed-2
RPL35,VPS13D,2,hop-2
GATA1,DPH3,-1,reversed-1
XRCC2,ZC3H8,1,direct
GTF2F2,ZNF317,2,hop-2
EIF3B,TMA16,-1,reversed-1
GTF2H3,WDR4,1,direct
GTF2H3,COG4,1,direct
COG2,GAK,2,hop-2
NELFE,WDR4,-1,reversed-1
NELFE,COG4,1,direct
GATA1,NEPRO,-2,reversed-2
MTOR,PSMB1,-1,reversed-1
RPL7A,ABT1,1,direct
WAC,MED1,1,direct
CBX1,EXOSC1,-2,reversed-2
ILF3,SCFD1,1,direct
EIF3B,SLU7,2,hop-2
RPS3,PREB,1,direct
IFITM2,HTATSF1,-2,reversed-2
YBX1,CIAO1,1,direct
RPL35A,RPAP1,2,hop-2
GUK1,POLR2E,-1,reversed-1
NOL11,CENPH,-1,reversed-1
HSPD1,DYNC1H1,1,direct
XRCC2,FIP1L1,-1,reversed-1
IARS2,PTCD3,-1,reversed-1
RRP12,TBCC,0,no_path
SRFBP1,TRIAP1,-1,reversed-1
KIF4A,TRAIP,1,direct
RPL7A,POLR2E,1,direct
RPL7A,DDX19A,1,direct
RPL18A,CEP85,1,direct
NELFA,TRMT6,2,hop-2
CCT6A,FBL,1,direct
XRCC5,GATA1,1,direct
NDUFA2,MRPS31,-1,reversed-1
TRAIP,VPS13D,0,no_path
HSPE1,NUP214,-1,reversed-1
CIAO1,POLR1C,-1,reversed-1
RPL35A,POLR3E,2,hop-2
PSMB2,MRPL38,1,direct
ZNRD1,SDHA,-1,reversed-1
EIF3B,ELAC2,-1,reversed-1
HDAC3,SKA3,-1,reversed-1
XRCC5,EIF4G1,-1,reversed-1
EIF4G1,TRAIP,2,hop-2
MEPCE,SBDS,-1,reversed-1
WBP1L,ATP6V0C,-1,reversed-1
MRPL9,XPO5,1,direct
PALB2,RPAIN,-2,reversed-2
WDR4,ZMAT5,2,hop-2
RPUSD3,EIF2S3,-1,reversed-1
RPL39,EIF3B,-1,reversed-1
PDCD6IP,MRPS11,-1,reversed-1
NELFA,KDM2A,1,direct
NDUFA2,WDR26,1,direct
XAB2,MOCS3,0,no_path
BRIX1,NOL12,1,direct
DPM2,BRCA1,1,direct
HSPD1,ZNF317,1,direct
PSMB1,URM1,1,direct
COG4,ZMAT5,0,no_path
MRPL21,PPP1CB,2,hop-2
GTF2H3,MEPCE,2,hop-2
MRGBP,NUP54,1,direct
SLU7,USP8,1,direct
SCFD1,SKA3,-2,reversed-2
MRGBP,PPP1CB,2,hop-2
ABT1,INCENP,1,direct
ROMO1,USP5,1,direct
CHMP1A,HSPD1,-1,reversed-1
RPL39,EXOSC1,1,direct
NOL12,MRPL24,0,no_path
ASF1B,GUK1,-1,reversed-1
GTF2H3,RSL24D1,-1,reversed-1
NELFE,RSL24D1,-1,reversed-1
LSM10,MRGBP,-1,reversed-1
BRIX1,NFRKB,1,direct
RAB4A,PTMA,-1,reversed-1
GMPPB,SRP14,-2,reversed-2
TRMT6,MED4,-1,reversed-1
RPS3,WAC,-1,reversed-1
WDR26,ARMC6,-3,reversed-3
PDCD6IP,ARMC6,1,direct
RNASEH2C,SRP14,-1,reversed-1
PSMB2,ZNF830,1,direct
MEPCE,SRFBP1,2,hop-2
CHMP1A,TBCC,0,no_path
RNF8,PALB2,1,direct
CDC20,USP8,1,direct
HMGCS1,USP5,-1,reversed-1
PTMA,MRPL9,1,direct
GMPPB,ATP6V0C,-1,reversed-1
CIAO1,RPAP1,1,direct
IFITM2,SNAPC5,-2,reversed-2
POLR2E,DDX19A,2,hop-2
BOP1,DHODH,2,hop-2
RNASEH2C,ATP6V0C,-1,reversed-1
RPL39,PSMC4,-1,reversed-1
RRP12,COG2,-2,reversed-2
XRCC2,MMS22L,1,direct
ILF3,METAP1,1,direct
HMGCS1,ARF4,-1,reversed-1
WDR18,RPUSD4,1,direct
HSPD1,GAK,1,direct
POLR2E,INCENP,1,direct
ABT1,HNRNPR,-1,reversed-1
CIAO1,POLR3E,1,direct
CPSF4,MRPS11,-2,reversed-2
RNPS1,TRIAP1,1,direct
RSL1D1,IARS2,1,direct
ANAPC11,TMA16,-1,reversed-1
ORC6,SUPT5H,1,direct
KDM2A,PREB,-2,reversed-2
RBX1,RPUSD4,2,hop-2
CHMP1A,DPM2,-1,reversed-1
MCM7,WDR18,1,direct
ILF3,SUPT5H,1,direct
CTU2,USP5,1,direct
ROMO1,TMX2,-1,reversed-1
EIF3B,PSMC4,-1,reversed-1
XRCC2,MED21,2,hop-2
PSMC3,MCM7,1,direct
RPL39,CBX1,1,direct
YBX1,CCP110,1,direct
CPSF6,MARS,1,direct
HMGCS1,WDR26,1,direct
COQ5,BRCA1,-1,reversed-1
RPL7A,MRPS28,1,direct
RPS3,MRPS22,-1,reversed-1
PSMC3,WDR18,1,direct
CPSF4,ARMC6,-1,reversed-1
CYFIP1,SNAPC5,2,hop-2
HSPD1,RPL10A,-1,reversed-1
CTU2,ARF4,-1,reversed-1
POLR2E,HNRNPR,-1,reversed-1
RNF8,PSME1,2,hop-2
MCM7,WDR4,1,direct
PSMC3,MYCBP,1,direct
NELFA,PREB,-1,reversed-1
CYC1,SNAPC5,1,direct
RSL1D1,MRPS22,1,direct
USP7,VPS13D,0,no_path
RPL39,ANAPC11,-1,reversed-1
NDUFA2,ROMO1,1,direct
CYFIP1,CLASRP,2,hop-2
SNRPG,RPL35A,-1,reversed-1
RBX1,PSMC3,-1,reversed-1
PTCD3,SMC6,1,direct
XRCC5,SNRPG,1,direct
RSL1D1,SMC6,1,direct
CPSF4,MRPL24,0,no_path
POLR2B,ZC3H8,2,hop-2
PSMB2,MRTO4,1,direct
HSPE1,BOP1,1,direct
POLR2B,CHMP5,-1,reversed-1
MTOR,POLR2B,-1,reversed-1
WDR18,MYCBP,-1,reversed-1
ORC6,TMA16,-1,reversed-1
RBX1,MCM7,1,direct
ILF3,TMA16,-1,reversed-1
CCT6A,NUP214,-1,reversed-1
GUK1,SDHA,1,direct
CHMP1A,RPP38,-1,reversed-1
METAP2,DDX41,-1,reversed-1
ELAC2,PSMC4,-1,reversed-1
PSMB1,MED17,1,direct
VPS13D,RPAP1,0,no_path
COG2,DPM2,-2,reversed-2
IARS2,PREB,1,direct
CCNL1,RPAIN,-2,reversed-2
YBX1,GATA1,1,direct
XAB2,DPM2,-1,reversed-1
RPL18A,RPL35A,-1,reversed-1
RPL7A,SDHA,1,direct
LSM10,NUP54,1,direct
ORC6,RPL39,-1,reversed-1
NEPRO,TRAIP,0,no_path
LSM10,PPP1CB,2,hop-2
RBX1,MYCBP,1,direct
PTCD3,NAT10,1,direct
RNASEH2C,GMPPB,1,direct
RAB4A,RPUSD3,-2,reversed-2
EIF3B,ANAPC11,-1,reversed-1
POLR2B,FIP1L1,1,direct
MRPL9,PALB2,2,hop-2
MRPL21,ZNRD1,1,direct
RBBP5,SKA3,-3,reversed-3
HSPE1,SURF6,1,direct
RPL39,SCFD1,1,direct
FBL,SNAPC5,1,direct
TRA2B,PALB2,1,direct
RPL7A,CPSF6,1,direct
HMGCS1,DDX24,-2,reversed-2
SNRPG,POLR1C,0,no_path
USP8,TMA16,-2,reversed-2
PSMB2,ZC3H8,1,direct
RBX1,COG4,1,direct
FBL,CLASRP,1,direct
SEC61G,PSMB1,1,direct
NUTF2,SRFBP1,1,direct
ELAC2,CBX1,1,direct
POLR2E,MRPS28,1,direct
ORC6,ELAC2,-2,reversed-2
MRPL4,NOL12,1,direct
RNPS1,SBDS,-1,reversed-1
RPS3,CASP8AP2,1,direct
ANAPC11,HDAC3,1,direct
MRPL4,BRIX1,-1,reversed-1
SCFD1,USP8,2,hop-2
POLR2B,XRCC2,1,direct
ARF4,NFRKB,1,direct
PTMA,RNF8,-1,reversed-1
DPM2,MOCS3,1,direct
MTOR,URM1,-2,reversed-2
XRCC2,MRPL38,-2,reversed-2
PSMB1,CENPH,1,direct
DDX41,VPS72,2,hop-2
SRFBP1,MCM7,-2,reversed-2
GTF2H3,RBX1,-1,reversed-1
MRPS11,ARF4,1,direct
BRIX1,MRPS11,-1,reversed-1
PTCD3,CASP8AP2,2,hop-2
RSL1D1,CASP8AP2,1,direct
NUP214,CYFIP1,1,direct
PREB,CASP8AP2,3,hop-3
SLU7,RBBP5,1,direct
MCM7,RSL24D1,-1,reversed-1
MRPL4,NFRKB,1,direct
NOL11,CHMP5,-1,reversed-1
HNRNPR,MRGBP,-1,reversed-1
HSPE1,METAP2,1,direct
MARS,SDHA,-2,reversed-2
METAP2,FBL,-1,reversed-1
NUP214,DHODH,2,hop-2
COQ5,SART1,0,no_path
HNRNPR,LSM10,1,direct
TRA2B,PTMA,1,direct
CCT6A,IFITM2,1,direct
ATP6V0C,XPO5,2,hop-2
WDR4,MYCBP,-1,reversed-1
PSMC3,RSL24D1,1,direct
PAF1,BRCA1,1,direct
METAP2,VPS72,1,direct
RPL18A,CIAO1,1,direct
RPL35,DPH3,1,direct
NELFA,KIN,1,direct
GAK,MOCS3,0,no_path
PPP1R7,BRCA1,1,direct
PSMA5,NUP54,1,direct
MCM10,CBX1,1,direct
TMX2,NFRKB,1,direct
BRIX1,ARMC6,1,direct
PSMA5,PPP1CB,1,direct
TRA2B,PSME1,1,direct
KDM2A,MRPS22,-2,reversed-2
MED1,CASP8AP2,2,hop-2
RNPS1,SRFBP1,1,direct
MYCBP,SBDS,-1,reversed-1
RAB4A,RNASEH2C,-1,reversed-1
RSL1D1,PTCD3,-1,reversed-1
ORC6,EIF3B,-1,reversed-1
WDR4,COG4,2,hop-2
ILF3,EIF3B,-1,reversed-1
POLR2E,CPSF6,1,direct
C7orf26,RPUSD4,2,hop-2
PDCD6IP,USP5,1,direct
ABT1,PPP1CB,2,hop-2
CYC1,GPS1,1,direct
XRCC2,ZNF830,1,direct
GPS1,HTATSF1,-2,reversed-2
LSM5,ARF4,1,direct
BRIX1,MRPL24,1,direct
SNRPG,RPL35,-1,reversed-1
RPL7A,PSMA5,1,direct
ORC6,EXOSC1,1,direct
ILF3,EXOSC1,1,direct
INCENP,SDHA,-1,reversed-1
RPL10A,GTF2F2,-1,reversed-1
PSMC3,SENP6,1,direct
RBX1,RSL24D1,1,direct
HSPE1,CYFIP1,-1,reversed-1
RPL18A,RPAP1,1,direct
MRPL21,ABT1,1,direct
LSM10,MARS,1,direct
PSMA1,SMC6,-2,reversed-2
CHMP5,URM1,1,direct
KIF4A,CEP85,1,direct
CBX1,TMA16,-2,reversed-2
USP7,NEPRO,-1,reversed-1
XRCC5,USP7,1,direct
POLA2,SURF6,0,no_path
SART1,BRCA1,-1,reversed-1
NELFA,RPS3,-1,reversed-1
CYC1,CD2BP2,1,direct
UNC45A,DYNC1H1,-1,reversed-1
DPM2,GTF2F2,-1,reversed-1
MRPS31,ARMC6,2,hop-2
PSMC4,SCFD1,1,direct
KIN,NFS1,0,no_path
HTATSF1,VPS72,2,hop-2
COG2,DYNC1H1,1,direct
DYNC1H1,ZNF317,0,no_path
CCT6A,BOP1,1,direct
RAB4A,TAF2,0,no_path
STAT5A,MED1,-1,reversed-1
RPL18A,RPL35,-1,reversed-1
RPL35,CEP85,2,hop-2
EIF4G1,CEP85,2,hop-2
DPM2,TBCC,2,hop-2
RNASEH2C,PSME1,1,direct
ILF3,PSMC4,-1,reversed-1
RPL35A,VPS13D,2,hop-2
RPS3,MED4,1,direct
HMGCS1,PDCD6IP,-1,reversed-1
MRPL21,POLR2E,-1,reversed-1
MRPS31,MRPL24,1,direct
MCM10,SCFD1,2,hop-2
RBX1,SENP6,1,direct
NELFE,RPUSD4,2,hop-2
RRP12,RPL10A,-1,reversed-1
MRPS11,DDX24,1,direct
RPL39,SUPT5H,1,direct
PDCD6IP,WDR26,1,direct
RPP38,TBCC,2,hop-2
ROMO1,HMGCS1,1,direct
TRMT6,MED1,-2,reversed-2
RNF8,RNASEH2C,2,hop-2
PAF1,COQ5,2,hop-2
ABT1,CCDC174,1,direct
PTCD3,MED4,1,direct
WAC,PREB,1,direct
PREB,MED4,-1,reversed-1
GAK,GTF2F2,-1,reversed-1
CCT6A,SURF6,1,direct
RNF8,SRP14,-1,reversed-1
CD2BP2,SNAPC5,0,no_path
GAK,TBCC,0,no_path
YBX1,VPS13D,1,direct
MTOR,MED17,0,no_path
RSL1D1,STAT5A,1,direct
RBBP5,USP8,1,direct
UNC45A,ZNF317,0,no_path
MEPCE,TRIAP1,-1,reversed-1
ILF3,CBX1,1,direct
HNRNPR,NUP54,1,direct
COG2,ZNF317,0,no_path
RAB4A,SLC1A5,0,no_path
TRMT6,KIN,-1,reversed-1
HNRNPR,PPP1CB,1,direct
POLR3E,RPAP1,0,no_path
DPH3,RPAP1,3,hop-3
CPSF4,ARF4,-1,reversed-1
PSMA1,CASP8AP2,2,hop-2
CTU2,PDCD6IP,-2,reversed-2
MRPL9,RPUSD3,1,direct
MRPL4,CTU2,1,direct
CLASRP,VPS72,0,no_path
RNF8,TAF2,2,hop-2
MRPL21,GUK1,1,direct
RPP38,DPM2,-1,reversed-1
PSME1,XPO5,0,no_path
RPL39,TMA16,-1,reversed-1
GPS1,SNAPC5,1,direct
RNPS1,NUTF2,1,direct
SARS2,CHMP5,-2,reversed-2
ORC6,ANAPC11,-1,reversed-1
HSPE1,HTATSF1,1,direct
SKA3,EXOSC1,1,direct
CCT6A,METAP2,1,direct
RAB4A,GMPPB,0,no_path
RPL10A,COG2,1,direct
RPL39,SLU7,1,direct
PDCD6IP,DDX24,1,direct
METAP2,NUP214,-1,reversed-1
RPL10A,RPP38,1,direct
POLR3E,NEPRO,-2,reversed-2
RPL35A,CIAO1,2,hop-2
POLA2,CYFIP1,-1,reversed-1
CHMP1A,RPL10A,-1,reversed-1
YBX1,TRAIP,1,direct
XRCC5,CCP110,1,direct
DDX24,NOL12,1,direct
MRPL38,URM1,-1,reversed-1
CHMP5,MMS22L,1,direct
IARS2,CASP8AP2,2,hop-2
SARS2,FIP1L1,-1,reversed-1
PSMA5,ZNRD1,1,direct
UNC45A,GAK,0,no_path
SUPT5H,CBX1,1,direct
SBDS,SENP6,1,direct
POLR2B,RAD9A,2,hop-2
HSPE1,CYC1,-1,reversed-1
CIAO1,VPS13D,0,no_path
NELFA,PTCD3,-2,reversed-2
RPP38,XAB2,0,no_path
IFITM2,FBL,-1,reversed-1
XAB2,GAK,0,no_path
RAD9A,URM1,-1,reversed-1
TRMT6,PSMA1,-1,reversed-1
POLR2B,MRPL38,-1,reversed-1
SNRPG,GATA1,1,direct
ARF4,ARMC6,1,direct
DDX24,NFRKB,1,direct
RNF8,SLC1A5,2,hop-2
BOP1,CD2BP2,2,hop-2
MEPCE,RNPS1,-1,reversed-1
NUTF2,NELFE,2,hop-2
IFITM2,VPS72,-1,reversed-1
RPL10A,PPP1R7,1,direct
TMX2,MRPS11,-1,reversed-1
SNRPG,EIF4G1,-1,reversed-1
RAB4A,TRA2B,-1,reversed-1
NOL11,PSMB2,-1,reversed-1
RPL35A,USP7,2,hop-2
RNPS1,C7orf26,1,direct
NUP54,ZNRD1,-2,reversed-2
CCT6A,CYFIP1,-1,reversed-1
CPSF4,LSM5,-1,reversed-1
METAP1,USP8,0,no_path
PSMC4,SUPT5H,1,direct
ARF4,MRPL24,1,direct
POLR2B,PSMB1,-1,reversed-1
MCM10,METAP1,2,hop-2
RPL18A,GATA1,1,direct
NELFA,RSL1D1,-1,reversed-1
ASF1B,POLR2E,-1,reversed-1
ANAPC11,RBBP5,1,direct
ZC3H8,URM1,-1,reversed-1
CDC20,RPL39,-1,reversed-1
MRPL9,SRP14,-1,reversed-1
ELAC2,TMA16,-1,reversed-1
GATA1,CEP85,0,no_path
TRA2B,SRP14,1,direct
SRFBP1,ZMAT5,0,no_path
RPL7A,INCENP,1,direct
TMX2,ARMC6,1,direct
CPSF4,DDX24,-2,reversed-2
ASF1B,INCENP,-1,reversed-1
KIF4A,RPL35A,-2,reversed-2
YBX1,USP7,1,direct
BRIX1,USP5,1,direct
MRPS11,MRPL24,1,direct
PSMB1,ZC3H8,1,direct
FBL,RPE,1,direct
RPL35A,NEPRO,1,direct
TBCC,BRCA1,-2,reversed-2
PSMB1,CHMP5,-1,reversed-1
HNRNPR,MARS,1,direct
NEPRO,CEP85,2,hop-2
POLR2B,ZNF830,1,direct
MRPL9,ATP6V0C,-1,reversed-1
FIP1L1,MED17,1,direct
ELAC2,SLU7,2,hop-2
XRCC5,DPH3,1,direct
CHMP5,CENPH,1,direct
CYC1,FBL,1,direct
TRA2B,ATP6V0C,1,direct
MRTO4,URM1,-1,reversed-1
WAC,MRPS22,1,direct
RSL24D1,ZMAT5,1,direct
GUK1,RPL7A,-1,reversed-1
TRIAP1,C7orf26,-2,reversed-2
RAB4A,MRPL9,-1,reversed-1
NUTF2,TRIAP1,-1,reversed-1
CYC1,VPS72,1,direct
BRIX1,MRPS31,1,direct
GUK1,HNRNPR,-1,reversed-1
WAC,SMC6,1,direct
HSPD1,BRCA1,1,direct
ASF1B,RPL7A,-1,reversed-1
LSM5,ARMC6,1,direct
NELFA,STAT5A,0,no_path
MCM7,RPUSD4,1,direct
HNRNPR,ZNRD1,1,direct
RPL7A,HNRNPR,-1,reversed-1
IARS2,MED4,1,direct
MARS,DDX19A,-2,reversed-2
MCM10,TMA16,-2,reversed-2
RPP38,DYNC1H1,2,hop-2
CPSF4,ROMO1,-2,reversed-2
NDUFA2,NOL12,1,direct
EIF3B,HDAC3,1,direct
ZNF830,MED17,0,no_path
NDUFA2,BRIX1,-1,reversed-1
PPP1R7,GTF2F2,-1,reversed-1
POLA2,CYC1,-1,reversed-1
WAC,NAT10,1,direct
CIAO1,USP7,-1,reversed-1
RRP12,XAB2,0,no_path
RSL1D1,WAC,-1,reversed-1
MCM10,SLU7,2,hop-2
MCM10,RPL39,-1,reversed-1
FIP1L1,CENPH,-1,reversed-1
BRIX1,TMX2,1,direct
MRPL38,MED17,2,hop-2
CDC20,EIF3B,-1,reversed-1
COQ5,PPP1R7,-1,reversed-1
CCT6A,HTATSF1,1,direct
GPS1,CD2BP2,1,direct
NDUFA2,NFRKB,2,hop-2
PSMG1,XPO5,1,direct
RPL35A,CCP110,2,hop-2
RPUSD4,SENP6,-1,reversed-1
SARS2,MED21,0,no_path
WDR18,SBDS,-1,reversed-1
TRA2B,SLC1A5,2,hop-2
ANAPC11,SKA3,1,direct
RPS3,NFS1,1,direct
NELFE,C7orf26,-1,reversed-1
XRCC5,YBX1,-1,reversed-1
CDC20,EXOSC1,1,direct
CCT6A,CYC1,1,direct
MCM10,ELAC2,-2,reversed-2
SART1,GTF2F2,-1,reversed-1
RPUSD3,RPAIN,-1,reversed-1
RPP38,ZNF317,1,direct
RBX1,SBDS,-1,reversed-1
WBP1L,GMPPB,0,no_path
POLR2B,MRTO4,-1,reversed-1
PTCD3,NFS1,2,hop-2
SLU7,PSMC4,-1,reversed-1
EIF3B,USP8,1,direct
RNPS1,ZMAT5,1,direct
IFITM2,NUP214,-1,reversed-1
MCM7,MYCBP,-1,reversed-1
METAP2,SURF6,1,direct
NUP54,DDX19A,0,no_path
EIF2S3,RNASEH2C,1,direct
IFITM2,POLA2,-3,reversed-3
ZC3H8,MED17,0,no_path
PPP1R7,DPM2,-1,reversed-1
TRA2B,GMPPB,2,hop-2
EIF2S3,SRP14,-1,reversed-1
PPP1CB,SDHA,-1,reversed-1
RPL35A,GATA1,1,direct
MRPL38,CENPH,1,direct
RPS3,MED1,1,direct
BRIX1,DDX24,1,direct
CASP8AP2,MED4,-2,reversed-2
MEPCE,WDR18,-1,reversed-1
EIF2S3,XPO5,1,direct
RPL35,RPAP1,2,hop-2
