src,tgt,path_length,type
EIF3B,CDC20,1,direct
BOP1,NUP214,-1,reversed-1
EIF2S3,PALB2,1,direct
HSPD1,GTF2F2,-1,reversed-1
WDR18,C7orf26,-2,reversed-2
HSPD1,PAF1,1,direct
RPAP1,POLR1C,-2,reversed-2
RNF8,RPAIN,1,direct
RRP12,COQ5,0,no_path
RNPS1,PSMC3,1,direct
LSM5,TMX2,1,direct
MRPL21,DDX19A,1,direct
ATP6V0C,SLC1A5,1,direct
PSMG1,PSME1,1,direct
FIP1L1,CHMP5,-2,reversed-2
POLR2B,NOL11,1,direct
RSL1D1,MED4,1,direct
MRGBP,DDX19A,2,hop-2
NDUFA2,CPSF4,1,direct
SRSF6,PSMA1,-2,reversed-2
STAT5A,KIN,1,direct
TAF2,ATP6V0C,-1,reversed-1
GUK1,MARS,2,hop-2
MRPS31,HMGCS1,2,hop-2
CPSF4,USP5,0,no_path
RPL10A,DPM2,-1,reversed-1
INCENP,NUP54,-1,reversed-1
CCT6A,CD2BP2,1,direct
INCENP,PPP1CB,2,hop-2
PSMC3,NELFE,1,direct
ARF4,MRPL4,1,direct
POLR2B,MTOR,1,direct
ELAC2,RBBP5,2,hop-2
TRMT6,IARS2,-2,reversed-2
SURF6,POLA2,0,no_path
HDAC3,SCFD1,0,no_path
RPE,SURF6,2,hop-2
MRPL21,ASF1B,2,hop-2
ATP6V0C,GMPPB,1,direct
SLC1A5,RPAIN,-1,reversed-1
SENP6,MEPCE,1,direct
PALB2,PSME1,0,no_path
CLASRP,DHODH,0,no_path
POLR3E,USP7,-1,reversed-1
WDR26,NOL12,-2,reversed-2
PDCD6IP,NOL12,1,direct
RNASEH2C,WBP1L,0,no_path
UNC45A,BRCA1,-2,reversed-2
MRPS22,PSMA1,1,direct
RPL39,SKA3,1,direct
RNPS1,WDR4,1,direct
MRPL4,ROMO1,-1,reversed-1
CPSF4,MRPS31,-1,reversed-1
RPL35A,TRAIP,1,direct
MEPCE,ZMAT5,0,no_path
PTMA,RNASEH2C,1,direct
PPP1R7,GAK,3,hop-3
CASP8AP2,NFS1,0,no_path
PREB,TRMT6,3,hop-3
POLR2B,MED17,1,direct
GTF2F2,PPP1R7,1,direct
MRPS22,SRSF6,2,hop-2
MRPS22,NAT10,-1,reversed-1
RPL10A,XAB2,1,direct
WDR26,NFRKB,-4,reversed-4
MRPL21,HNRNPR,-1,reversed-1
EIF2S3,PSME1,1,direct
MRPL38,CHMP5,-1,reversed-1
SNAPC5,CLASRP,1,direct
RBX1,NELFE,1,direct
ABT1,MARS,2,hop-2
HDAC3,ORC6,-1,reversed-1
CD2BP2,NUP214,-1,reversed-1
NUTF2,MEPCE,1,direct
RPS3,KDM2A,1,direct
COG2,RRP12,2,hop-2
DPH3,NEPRO,-1,reversed-1
PTMA,ATP6V0C,-1,reversed-1
PALB2,RNF8,-1,reversed-1
XAB2,RRP12,0,no_path
ATP6V0C,TRA2B,-1,reversed-1
RAD9A,CHMP5,-2,reversed-2
DYNC1H1,COQ5,0,no_path
STAT5A,PSMA1,-2,reversed-2
CYC1,DDX41,1,direct
CPSF4,TMX2,-1,reversed-1
INCENP,CCDC174,2,hop-2
MOCS3,DYNC1H1,0,no_path
DDX24,ARF4,-1,reversed-1
WDR4,C7orf26,-2,reversed-2
PPP1CB,DDX19A,-1,reversed-1
MED1,TRMT6,2,hop-2
ROMO1,CPSF4,2,hop-2
DDX41,CLASRP,1,direct
CASP8AP2,MED1,-2,reversed-2
DDX24,NDUFA2,-1,reversed-1
UNC45A,CHMP1A,-1,reversed-1
SLU7,TMA16,-2,reversed-2
PTMA,TAF2,1,direct
PSMC3,TRIAP1,1,direct
COG2,CHMP1A,0,no_path
TRIAP1,WDR4,1,direct
SNAPC5,POLA2,0,no_path
SBDS,C7orf26,1,direct
NUP214,SNAPC5,1,direct
CPSF6,MRPS28,-2,reversed-2
PSMB1,MRTO4,1,direct
COG4,C7orf26,-2,reversed-2
LSM5,MRPL4,1,direct
WBP1L,RPAIN,0,no_path
CDC20,TMA16,-1,reversed-1
LSM5,ROMO1,1,direct
TAF2,GMPPB,0,no_path
KIF4A,SNRPG,1,direct
CCNL1,PALB2,0,no_path
SEC61G,ZC3H8,1,direct
METAP2,CLASRP,1,direct
NUP214,CLASRP,2,hop-2
ANAPC11,SCFD1,1,direct
CDC20,SLU7,1,direct
DDX24,TMX2,-1,reversed-1
RNPS1,MEPCE,1,direct
ELAC2,SKA3,2,hop-2
WDR18,ZMAT5,2,hop-2
RBX1,TRIAP1,1,direct
CCDC174,ABT1,-1,reversed-1
ATP6V0C,MRPL9,1,direct
CBX1,USP8,1,direct
FIP1L1,MMS22L,2,hop-2
HSPD1,PPP1R7,1,direct
MOCS3,ZNF317,0,no_path
MRPL4,MRPL24,1,direct
ARF4,HMGCS1,1,direct
WAC,NFS1,2,hop-2
RNPS1,RSL24D1,1,direct
LSM10,POLR2E,1,direct
INCENP,MARS,1,direct
CENPH,NOL11,1,direct
POLR2E,ZNRD1,1,direct
PTMA,SLC1A5,1,direct
MRTO4,ZC3H8,1,direct
MRPS22,PTCD3,-1,reversed-1
MRTO4,CHMP5,-1,reversed-1
POLR3E,CCP110,0,no_path
SEC61G,FIP1L1,1,direct
SRSF6,TRMT6,0,no_path
YBX1,POLR1C,1,direct
DPH3,CCP110,0,no_path
CPSF6,SDHA,-2,reversed-2
PSMB2,CENPH,1,direct
CYFIP1,DHODH,2,hop-2
UNC45A,SART1,0,no_path
SENP6,ZMAT5,0,no_path
HNRNPR,PSMA5,1,direct
RPL10A,DYNC1H1,1,direct
SRP14,PALB2,2,hop-2
DDX24,LSM5,-1,reversed-1
PSME1,GMPPB,0,no_path
EIF4G1,RPL35A,-1,reversed-1
NOL12,CTU2,1,direct
CEP85,POLR1C,0,no_path
STAT5A,PTCD3,-1,reversed-1
HDAC3,SUPT5H,-1,reversed-1
RPUSD3,RNF8,-2,reversed-2
LSM10,ASF1B,2,hop-2
RNASEH2C,RPAIN,-1,reversed-1
NELFE,NUTF2,-2,reversed-2
CCNL1,PTMA,-1,reversed-1
TMX2,HMGCS1,2,hop-2
SEC61G,XRCC2,1,direct
URM1,ZNF830,2,hop-2
ILF3,RBBP5,1,direct
SMC6,NFS1,1,direct
MCM10,SKA3,1,direct
PSMC4,SLU7,1,direct
MCM7,SBDS,-1,reversed-1
ILF3,CDC20,1,direct
LSM5,PDCD6IP,1,direct
CCNL1,PSME1,0,no_path
TRIAP1,RSL24D1,-1,reversed-1
MYCBP,RSL24D1,-1,reversed-1
MOCS3,GAK,0,no_path
NDUFA2,ARF4,1,direct
PDCD6IP,CTU2,2,hop-2
PSMG1,RNASEH2C,1,direct
FBL,DHODH,1,direct
BOP1,DDX41,-1,reversed-1
RBX1,RNPS1,-1,reversed-1
RAD9A,MMS22L,0,no_path
PAF1,TBCC,1,direct
DDX41,GPS1,1,direct
STAT5A,TRMT6,1,direct
RPS3,NELFA,1,direct
DHODH,SURF6,-1,reversed-1
RPL10A,ZNF317,1,direct
HSPE1,POLA2,1,direct
MEPCE,RPUSD4,1,direct
RPL18A,KIF4A,1,direct
YBX1,RPAP1,1,direct
ATP6V0C,WBP1L,1,direct
PTMA,TRA2B,-1,reversed-1
SMC6,MED1,1,direct
SENP6,RBX1,-1,reversed-1
SRP14,PTMA,1,direct
PTCD3,NELFA,2,hop-2
HDAC3,TMA16,-1,reversed-1
MRPL24,NOL12,0,no_path
PSMA5,DDX19A,1,direct
HTATSF1,HSPE1,-1,reversed-1
MMS22L,ZC3H8,0,no_path
MED21,FIP1L1,-1,reversed-1
BOP1,RPE,-2,reversed-2
WDR26,MRPS11,-2,reversed-2
SARS2,NOL11,-1,reversed-1
VPS13D,TRAIP,0,no_path
SRP14,PSME1,1,direct
MOCS3,RPL10A,-1,reversed-1
GUK1,LSM10,-1,reversed-1
MCM7,SRFBP1,2,hop-2
DDX24,ROMO1,-1,reversed-1
ABT1,DDX19A,1,direct
PTMA,PSMG1,-1,reversed-1
HDAC3,SLU7,-1,reversed-1
RPL7A,MRGBP,-1,reversed-1
HDAC3,RPL39,-1,reversed-1
ASF1B,MRGBP,-1,reversed-1
MRPL24,NFRKB,0,no_path
RSL1D1,NFS1,1,direct
CD2BP2,SURF6,0,no_path
RPL7A,LSM10,1,direct
SARS2,MTOR,0,no_path
PAF1,DPM2,-1,reversed-1
SART1,TBCC,0,no_path
MRPS31,TMX2,1,direct
SUPT5H,USP8,1,direct
RPP38,BRCA1,0,no_path
PSMC3,SRFBP1,1,direct
SCFD1,TMA16,-1,reversed-1
KIF4A,USP7,1,direct
DPM2,RRP12,1,direct
RBX1,GTF2H3,1,direct
CPSF4,CTU2,-1,reversed-1
LSM10,MRPS28,1,direct
SCFD1,SLU7,-1,reversed-1
RPL35,USP7,2,hop-2
CEP85,NEPRO,-2,reversed-2
RAD9A,PSMB2,-1,reversed-1
EIF4G1,USP7,1,direct
INCENP,ABT1,-1,reversed-1
MEPCE,MYCBP,-1,reversed-1
RSL1D1,MED1,1,direct
BOP1,FBL,-1,reversed-1
ZNF317,BRCA1,-2,reversed-2
HTATSF1,GPS1,2,hop-2
TRAIP,CIAO1,0,no_path
EIF3B,EXOSC1,2,hop-2
RPS3,IARS2,-1,reversed-1
PAF1,XAB2,2,hop-2
ROMO1,NFRKB,2,hop-2
PSMG1,SLC1A5,1,direct
RPS3,KIN,1,direct
PPP1R7,XAB2,2,hop-2
ELAC2,USP8,1,direct
BOP1,VPS72,2,hop-2
VPS72,SURF6,-1,reversed-1
SART1,DPM2,-1,reversed-1
EIF4G1,RPL35,-1,reversed-1
CCNL1,RPUSD3,-2,reversed-2
RPP38,CHMP1A,1,direct
UNC45A,HSPD1,-1,reversed-1
ARMC6,NFRKB,1,direct
PTCD3,KIN,2,hop-2
RSL1D1,KIN,1,direct
UNC45A,GTF2F2,-2,reversed-2
RPUSD3,RAB4A,2,hop-2
YBX1,RPL18A,1,direct
DDX24,PDCD6IP,-1,reversed-1
CBX1,RBBP5,-1,reversed-1
SRSF6,NELFA,-1,reversed-1
EIF4G1,NEPRO,1,direct
LSM10,SDHA,1,direct
SEC61G,PSMB2,1,direct
ZNRD1,PSMA5,-1,reversed-1
HNRNPR,DDX19A,1,direct
PSMB1,NOL11,1,direct
PSMG1,GMPPB,1,direct
PSMC4,USP8,2,hop-2
MTOR,ZC3H8,0,no_path
EIF4G1,SNRPG,1,direct
WDR4,GTF2H3,-1,reversed-1
RAD9A,MRPL38,-3,reversed-3
PSMB1,MTOR,1,direct
MED1,IARS2,-1,reversed-1
MRPS28,MARS,3,hop-3
RPS3,SMC6,-1,reversed-1
RPUSD3,XPO5,1,direct
DDX24,HMGCS1,2,hop-2
CASP8AP2,KDM2A,-1,reversed-1
SART1,COG2,0,no_path
PSME1,WBP1L,0,no_path
EIF2S3,SLC1A5,1,direct
WAC,MED4,1,direct
NUTF2,RPUSD4,1,direct
IFITM2,HSPE1,-1,reversed-1
MCM7,NUTF2,-1,reversed-1
TRA2B,MRPL9,1,direct
MED17,ZC3H8,0,no_path
RPS3,PSMA1,1,direct
MED17,CHMP5,-2,reversed-2
HTATSF1,METAP2,1,direct
RPL18A,TRAIP,1,direct
SENP6,PSMC3,-1,reversed-1
INCENP,LSM10,-1,reversed-1
TRAIP,NEPRO,0,no_path
RPL7A,NUP54,1,direct
GTF2H3,ZMAT5,2,hop-2
NELFE,ZMAT5,1,direct
XRCC2,CENPH,-1,reversed-1
CCT6A,POLA2,1,direct
ZNF317,COQ5,0,no_path
ASF1B,PPP1CB,1,direct
NUP54,MRGBP,-1,reversed-1
SENP6,MCM7,-2,reversed-2
ABT1,MRPS28,1,direct
RBX1,WDR18,1,direct
PSMG1,TRA2B,-1,reversed-1
PSMC3,NUTF2,1,direct
RPS3,NAT10,-1,reversed-1
CLASRP,SURF6,0,no_path
GTF2F2,TBCC,1,direct
POLR2B,URM1,-2,reversed-2
WDR18,WDR4,1,direct
MRPL38,ZNF830,1,direct
SEC61G,MRPL38,1,direct
MED17,FIP1L1,-1,reversed-1
RSL1D1,SRSF6,1,direct
USP7,POLR1C,0,no_path
MRPL4,TMX2,-1,reversed-1
PAF1,DYNC1H1,2,hop-2
NUP214,RPE,1,direct
NELFA,NFS1,0,no_path
PPP1R7,DYNC1H1,2,hop-2
RBBP5,TMA16,-2,reversed-2
PALB2,TRA2B,-1,reversed-1
PTMA,EIF2S3,-1,reversed-1
RBX1,WDR4,1,direct
ARF4,NOL12,1,direct
KDM2A,MED1,-1,reversed-1
IFITM2,BOP1,-3,reversed-3
SNAPC5,VPS72,1,direct
RPL35A,XRCC5,2,hop-2
MRPS22,WAC,-1,reversed-1
MCM7,C7orf26,-2,reversed-2
CYFIP1,HSPE1,1,direct
RNPS1,RPUSD4,1,direct
VPS72,DHODH,0,no_path
RRP12,CHMP1A,0,no_path
SLC1A5,RNF8,-2,reversed-2
UNC45A,RPP38,-2,reversed-2
